Word,Count
*,49229
the,40290
,31486
of,17809
to,17004
is,13506
a,9878
and,8913
be,8077
in,8019
for,7261
this,7014
The,6716
not,5205
or,5090
\param,4967
if,4834
This,4453
it,4038
software,3625
by,3571
that,3321
OR,3275
from,3022
as,3000
with,2956
value,2852
must,2761
will,2742
you,2737
any,2719
\return,2668
use,2663
//,2597
=,2476
-,2397
an,2384
are,2238
OF,2208
file,2088
on,2087
/,2066
used,2049
@param,1951
data,1949
can,1931
set,1921
A,1909
\c,1891
property,1850
If,1805
function,1712
0,1661
source,1604
:,1589
Get,1561
THE,1513
object,1507
index,1498
ANY,1470
type,1468
without,1443
number,1427
Set,1415
which,1409
all,1371
but,1369
at,1360
time,1335
1,1335
node,1282
/<,1271
vector,1270
matrix,1249
may,1234
no,1231
only,1217
Copyright,1217
should,1201
key,1198
have,1140
class,1121
version,1121
given,1119
General,1099
original,1098
Public,1087
License,1081
GNU,1078
Lesser,1073
when,1066
FFmpeg,1054
name,1047
::,1043
array,1042
element,1039
----------------------------------------------------------------------------,1030
return,1003
specified,981
animation,978
true,976
its,944
and/or,939
pointer,932
\remarks,930
false,927
curve,905
2,896
WITHOUT,896
has,882
error,879
point,872
implied,855
mode,855
warranty,852
To,850
redistribute,847
default,822
more,817
(c),813
/////////////////////////////////////////////////////////////////////////////////,793
values,785
\e,773
event,767
3,765
AND,760
FOR,759
Lin,759
subject,758
one,754
Free,742
first,737
buffer,735
Returns,731
Software,729
notice,726
otherwise,721
filter,718
provided,714
Default,704
In,692
size,687
memory,686
new,685
current,685
@return,685
being,661
output,659
would,649
following,647
See,642
we,638
Inc,635
each,627
into,617
format,616
part,607
method,607
product,607
objects,607
removed,604
marked,602
information,600
NOT,599
copy,590
two,590
these,586
origin,586
user,585
distributed,582
flag,578
NULL,576
either,566
!<,564
\Autodesk,\,564
FITNESS,563
code,563
PARTICULAR,563
PURPOSE,562
required,557
+,554
between,554
using,552
documentation,550
MERCHANTABILITY,546
returns,544
axis,544
including,539
DAMAGES,538
versions,535
stream,530
sound,527
@Input,525
distribution,525
table,523
You,522
const,518
write,517
string,516
@{,514
DATA,513
AUTODESK,513
input,511
was,510
so,508
Permission,504
held,500
@},500
For,499
***********************************************************************,496
functions,495
express,494
altered,493
wrote,491
your,491
granted,491
rotation,490
even,489
state,489
bytes,488
\such,\,487
alter,487
pIndex,486
header,486
\applications,\,486
access,485
commercial,485
anyone,485
arising,484
authors,484
\purpose,\,484
claim,483
\'as-is',\,483
restrictions:,483
misrepresented;,483
acknowledgment,483
\freely,\,483
plainly,483
Altered,483
liable,483
\product,\,483
misrepresented,483
appreciated,483
damages,483
free,481
get,475
points,468
details,468
tangent,468
terms,467
call,467
channel,467
other,464
called,462
under,461
then,459
layer,455
read,453
defined,452
later,448
change,448
do:,444
FBX,440
modify,440
out,439
last,439
\name,434
than,434
length,429
along,427
position,427
same,421
quaternion,419
library,419
Collision,418
All,418
Mac,417
It,415
FMOD,413
frame,411
parameter,409
PlayStation,407
list,406
texture,406
handle,400
field,400
files,399
{,399
(C),397
3-D,395
****************************************************************************,394
left,394
*<,392
system,390
right,390
found,389
shape,389
elements,389
range,388
control,388
Module,386
geometry,386
been,386
Author,385
Date,385
Copyright(c),384
contains,382
Use,380
next,380
Engine,379
received,378
component,378
Bullet,376
},376
\Macgyver,\,375
Magnum,375
macgyvercct@yahoo.com.hk,375
Koon,375
after,375
Wing,375
14/Jun/2016,375
\2016,\,375
v1.0.0,375
application,373
USE,373
