File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,AnimBase::AnimBase(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,AnimBase::~AnimBase(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,AnimBase::invokeCallBack(),5,5,3,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,AnimBase::setEventCallBack(Functor1<AnimBase *> *cb_),2,2,2,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,AnimBase::getEventCallBack(),2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::AttributesBlock(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::~AttributesBlock(),1,1,1,0,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::operator =(const AttributesBlock &other),7,6,6,1,1,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::operator ==(const AttributesBlock &other) const,35,30,14,21,5,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::getNumAttributes() const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::getAttributeType(int i) const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::getVertexFormat(int i) const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::getAttributeName(int i) const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::getVertexStreamSource(int i) const,2,2,2,1,0,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::read(InputStream &is),20,15,11,4,5,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,AttributesBlock::write(OutputStream &os) const,15,11,7,4,4,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::Manager(),9,6,6,0,3,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::~Manager(),10,7,7,0,3,0,0,0,
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,Audio::Manager::setMasterVolume(float volume),5,4,4,0,1,0,0,0,
