Word,Count
*,5429
the,4917
//,2431
of,2251
,2114
:,1187
is,1181
----------------------------------------------------------------------------,1028
to,878
@param,867
/////////////////////////////////////////////////////////////////////////////////,793
Lin,759
a,740
=,656
and,586
in,581
for,571
if,515
this,499
@return,457
Mac,386
Module,384
Copyright(c),384
Date,384
Author,384
Engine,378
macgyvercct@yahoo.com.hk,375
Wing,375
Koon,375
\Macgyver,\,375
14/Jun/2016,375
Magnum,375
\2016,\,375
v1.0.0,375
be,360
function,347
The,345
Get,319
return,300
This,268
*<,253
by,248
class,241
not,237
Component,225
/,217
const,215
from,209
To,206
Set,192
it,185
data,184
Handle,180
Event,172
will,170
all,167
{,166
true,164
or,162
@brief,161
0,160
},157
are,156
set,155
an,154
that,153
\float,\,147
animation,147
as,142
with,142
+,142
@see,136
when,136
which,134
//////////////////////////////////////////////////////////////,134
type,134
at,128
Construct,127
its,125
on,124
method,124
RigidBody,124
false,120
Texture,117
\int,\,114
If,113
point,111
Constructor,111
name,111
read,110
void,106
rotation,104
owner,103
char,103
ParticleEmitter,101
child,100
Destruct,99
Animation,98
camera,97
Destructor,95
must,94
index,93
matrix,92
\,\,92
\value_,\,90
int,89
|,89
value,86
collision,85
get,85
stream,82
input,82
/<,81
returns,79
you,79
can,79
element,79
number,79
i-th,78
Path,77
system,77
position,77
else,76
direction,75
\Vector3,\,75
Vector3,74
vector,74
array,72
component,72
use,71
0;,70
\*,\,69
<=,68
returned,67
-,67
time,66
axis,66
where,65
space,65
A,64
app,63
should,63
virtual,62
any,62
construction,62
coordinate,62
length,62
pixelType,62
bone,61
uninitialized,61
called,61
shape,59
Collision,59
1,59
null,58
node,58
texture,58
rigidbody,58
call,57
implemented,57
bool,56
first,56
remove,56
current,56
specify,55
Model,54
buffer,54
compute,53
unsigned,52
Space,52
file,52
Update,52
have,51
\success,\,51
local,50
\true,\,50
result,50
error,50
do,50
audio,50
other,49
Check,49
Static,49
transform,49
access,48
\PVRTexConvert::getPixelType(PVRTexConvert::PO_LDR,\,48
has,48
Services,48
Skeletal,48
service,48
Rendering,47
but,47
attribute,47
side,46
no,46
static,46
Vector,46
more,46
speed,45
application,45
last,45
Height,45
resource,45
base,44
\PVRTexConvert::CO_NO_COMPRESS,\,44
defined,44
only,44
\@return,\,44
ray,44
used,44
end,44
back,43
i,43
let,43
);,43
object,43
scene,43
sub,42
into,42
\background,\,42
owns,42
bring,42
resources),42
cycle,42
software,42
Called,42
),41
\PVRTexConvert::AO_GRADIENT,\,40
new,40
frustum,40
given,40
Anim,40
\Zero,\,40
out,40
string,40
scale,40
encapsulate,40
points,39
plane,39
path,39
list,38
we,38
\owner_,\,38
then,38
handle,38
Camera,37
M,37
Component::Owner,36
game,36
text,36
2,36
\PVRTexConvert::CO_COLOR,\,36
<,36
Frame3's,36
\0,\,35
bits,35
Return,35
angle,35
mass,35
Transform,34
state,34
pointer,34
Will,34
may,34
mode,34
so,34
does,34
starting,34
document,33
elapse,33
copy,33
unique,33
Owner,33
field,33
add,33
requested,33
World,33
release,33
each,33
Stencil,32
Number,32
Rigidbody,32
about,32
needed,32
fail,32
up,32
|=,32
Audio,32
State,31
Buffer,31
operations,31
order,31
member,31
Entity,31
arithmetic,31
\0.0,\,31
Cube,30
t,30
Velocity,30
0);,30
DiffuseMapSpecularMapCube,30
It,30
Graphics,30
For,30
pass,30
default,30
user,30
GraphicsContext.notifyUpdate,29
Start,29
std::string,29
constructor,29
Not,29
here,29
callback,29
form,29
inputstream,29
c,29
Shader,29
itself,29
control,29
Position,29
around,29
calling,28
parameter,28
column,28
Instance,28
functions,28
\ResourcePath,\,28
XML,28
float,28
\data,\,28
terminate,28
int32,27
3,27
character,27
STL,27
b2Transform&,27
using,27
physics,27
Bone,27
Renderer,27
SkeletalAnimModelComponent,27
\up,\,26
weight,26
Radius,26
loop,26
WARNING,26
Attribute,26
In,26
same,26
e.g,26
test,26
there,26
Capsule,26
delta,26
values,26
Angular,26
near,26
vectors,25
z,25
children,25
inValidateGlobalInverse();,25
contact,25
Cast,25
DiffuseMapCube,25
update,25
Factor,25
tag,25
Shape,25
DecrWrap,24
\IncrWrap,\,24
world,24
transition,24
Debuger,24
failed,24
Pause,24
\Replace,\,24
\Decr,\,24
Local,24
Mode,24
support,24
P,24
World2,24
Linear,24
x,24
\Invert,\,24
R,24
\Incr,\,24
Compute,24
Keep,24
reference,24
Call,24
calculate,24
Matrix4,24
\Keep,\,24
Y,24
Resume,23
row,23
Axis,23
during,23
X,23
being,23
segment,23
@exception,23
method's,23
check,23
////////////////////////////////////////////////////////////////////////////////////,23
frame,23
y,23
Uniform,22
clean,22
version,22
behaviour,22
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,22
!=,22
diagonal,22
pause,22
than,22
sleep,22
V1,22
was,22
find,22
closed,22
code,21
services,21
String,21
SkySphere,21
right,21
reload,21
memory,21
quaternion,21
density,21
pause(e.g,21
also,21
\Services,\,21
Terminate,21
one,21
whether,21
enter,21
-1,21
bones,21
Stop,21
resume(e.g,21
indicates,21
Returns,21
these,20
unit-length,20
property,20
0),20
const;,20
zero,20
/////////////////////////////////////////////////////////////////,20
elements,20
Damping,20
\point,\,20
event,20
variable,20
need,20
moment,20
\called,\,20
After,20
some,20
case,20
Clear,20
size,20
byte,20
inertia,20
they,20
level,20
Add,20
Initiate,20
==,20
macro,20
InputStream,19
\i,\,19
entities,19
num,19
Note,19
Device,19
line,19
linear,19
left,19
output,19
next,19
old,19
T,19
radius,19
We,19
resume,19
